,File ID,English_name,Quality,Time,Date,X,Y,year,type,month,time2,TOD,hour
30,162564,Rose-crested Blue Pipit,A,21:53,5/25/2013,35,145.0,2013,song,5,22:00,Evening,22
31,162563,Rose-crested Blue Pipit,A,21:05,5/25/2013,116,108.0,2013,song,5,21:00,Evening,21
32,152971,Rose-crested Blue Pipit,A,6:00,6/28/2008,78,82.0,2008,song,6,6:00,Morning,6
33,139528,Rose-crested Blue Pipit,A,8:00,5/30/2009,134,144.0,2009,song,5,8:00,Morning,8
35,134557,Rose-crested Blue Pipit,A,11:30,5/8/2000,39,61.0,2000,song,5,12:00,Day,12
36,120731,Rose-crested Blue Pipit,A,6:00,7/21/2005,127,117.0,2005,call,7,6:00,Morning,6
37,118322,Rose-crested Blue Pipit,A,15:00,1/15/2013,140,149.0,2013,call,1,15:00,Day,15
38,118321,Rose-crested Blue Pipit,A,15:20,1/15/2013,152,154.0,2013,call,1,15:00,Day,15
39,118320,Rose-crested Blue Pipit,A,15:00,1/15/2013,127,113.0,2013,call,1,15:00,Day,15
41,110765,Rose-crested Blue Pipit,A,8:30,5/29/2012,146,111.0,2012,song,5,9:00,Morning,9
42,106772,Rose-crested Blue Pipit,A,6:35,6/29/2012,149,151.0,2012,call,6,7:00,Morning,7
43,105151,Rose-crested Blue Pipit,A,5:56,6/16/2012,127,118.0,2012,song,6,6:00,Morning,6
44,89862,Rose-crested Blue Pipit,A,6:15,4/28/1996,147,154.0,1996,song,4,6:00,Morning,6
47,41283,Rose-crested Blue Pipit,A,11:00,10/12/2009,137,99.0,2009,call,10,11:00,Day,11
48,35964,Rose-crested Blue Pipit,A,15:30,9/30/2008,142,164.0,2008,call,9,16:00,Day,16
49,30397,Rose-crested Blue Pipit,A,8:00,2/22/2009,125,121.0,2009,song,2,8:00,Morning,8
50,14877,Rose-crested Blue Pipit,A,5:35,7/1/2007,127,167.0,2007,song,7,6:00,Morning,6
51,12122,Rose-crested Blue Pipit,A,6:00,4/7/2007,166,153.0,2007,song,4,6:00,Morning,6
52,387405,Rose-crested Blue Pipit,B,10:00,9/18/2017,125,104.0,2017,call,9,10:00,Morning,10
53,387403,Rose-crested Blue Pipit,B,10:00,9/18/2017,130,107.0,2017,call,9,10:00,Morning,10
55,383446,Rose-crested Blue Pipit,B,9:30,8/18/2017,130,108.0,2017,call,8,10:00,Morning,10
56,378584,Rose-crested Blue Pipit,B,15:00,7/1/2017,75,103.0,2017,song,7,15:00,Day,15
57,362922,Rose-crested Blue Pipit,B,6:12,4/25/2015,158,105.0,2015,call,4,6:00,Morning,6
58,354538,Rose-crested Blue Pipit,B,8:10,2/5/2017,144,110.0,2017,call,2,8:00,Morning,8
59,349700,Rose-crested Blue Pipit,B,11:00,12/28/2016,170,110.0,2016,call,12,11:00,Day,11
60,345802,Rose-crested Blue Pipit,B,8:04,4/8/2015,149,114.0,2015,song,4,8:00,Morning,8
61,345801,Rose-crested Blue Pipit,B,6:45,8/10/2015,124,117.0,2015,call,8,7:00,Morning,7
62,345797,Rose-crested Blue Pipit,B,6:43,8/10/2015,158,107.0,2015,call,8,7:00,Morning,7
63,345796,Rose-crested Blue Pipit,B,14:39,1/3/2016,152,122.0,2016,call,1,15:00,Day,15
64,345795,Rose-crested Blue Pipit,B,7:52,10/24/2015,143,106.0,2015,call,10,8:00,Morning,8
65,345564,Rose-crested Blue Pipit,B,14:45,1/3/2016,149,117.0,2016,call,1,15:00,Day,15
66,345563,Rose-crested Blue Pipit,B,14:18,1/3/2016,128,118.0,2016,call,1,14:00,Day,14
67,345562,Rose-crested Blue Pipit,B,8:53,3/31/2015,157,124.0,2015,call,3,9:00,Morning,9
68,345561,Rose-crested Blue Pipit,B,13:01,12/25/2015,110,120.0,2015,call,12,13:00,Day,13
69,345560,Rose-crested Blue Pipit,B,11:41,12/25/2015,154,127.0,2015,call,12,12:00,Day,12
70,345559,Rose-crested Blue Pipit,B,11:40,12/25/2015,85,134.0,2015,call,12,12:00,Day,12
71,345558,Rose-crested Blue Pipit,B,11:40,12/25/2015,150,110.0,2015,call,12,12:00,Day,12
72,345557,Rose-crested Blue Pipit,B,11:39,12/25/2015,153,113.0,2015,call,12,12:00,Day,12
73,345556,Rose-crested Blue Pipit,B,7:44,8/10/2015,152,121.0,2015,call,8,8:00,Morning,8
74,345555,Rose-crested Blue Pipit,B,7:32,8/10/2015,26,133.0,2015,call,8,8:00,Morning,8
75,345554,Rose-crested Blue Pipit,B,8:59,8/9/2015,47,58.0,2015,song,8,9:00,Morning,9
76,345553,Rose-crested Blue Pipit,B,9:38,4/20/2015,133,116.0,2015,song,4,10:00,Morning,10
77,345552,Rose-crested Blue Pipit,B,9:34,4/20/2015,135,118.0,2015,song,4,10:00,Morning,10
78,345550,Rose-crested Blue Pipit,B,14:39,1/3/2016,62,67.0,2016,call,1,15:00,Day,15
79,344091,Rose-crested Blue Pipit,B,7:00,5/26/2007,139,148.0,2007,song,5,7:00,Morning,7
80,344090,Rose-crested Blue Pipit,B,7:00,6/1/2015,147,119.0,2015,song,6,7:00,Morning,7
81,342729,Rose-crested Blue Pipit,B,10:35,11/13/2016,116,132.0,2016,call,11,11:00,Day,11
82,342417,Rose-crested Blue Pipit,B,10:00,11/11/2016,136,130.0,2016,call,11,10:00,Morning,10
83,339833,Rose-crested Blue Pipit,B,12:30,10/23/2016,149,118.0,2016,call,10,13:00,Day,13
84,339832,Rose-crested Blue Pipit,B,12:30,10/23/2016,149,111.0,2016,call,10,13:00,Day,13
85,324018,Rose-crested Blue Pipit,B,7:30,6/9/2016,150,120.0,2016,song,6,8:00,Morning,8
86,320496,Rose-crested Blue Pipit,B,10:30,4/14/2016,119,121.0,2016,song,4,11:00,Day,11
87,314104,Rose-crested Blue Pipit,B,12:30,4/28/2016,128,116.0,2016,song,4,13:00,Day,13
88,313778,Rose-crested Blue Pipit,B,11:45,4/24/2016,130,122.0,2016,song,4,12:00,Day,12
89,313073,Rose-crested Blue Pipit,B,10:29,4/14/2016,133,120.0,2016,call,4,10:00,Morning,10
90,312968,Rose-crested Blue Pipit,B,7:12,4/19/2016,71,93.0,2016,call,4,7:00,Morning,7
91,312965,Rose-crested Blue Pipit,B,7:11,4/19/2016,125,117.0,2016,call,4,7:00,Morning,7
92,306344,Rose-crested Blue Pipit,B,19:00,3/6/2016,159,129.0,2016,song,3,19:00,Evening,19
93,306343,Rose-crested Blue Pipit,B,19:00,3/6/2016,111,115.0,2016,call,3,19:00,Evening,19
94,305761,Rose-crested Blue Pipit,B,10:30,2/28/2016,121,116.0,2016,song,2,11:00,Day,11
95,304180,Rose-crested Blue Pipit,B,18:04,2/20/2016,71,138.0,2016,song,2,18:00,Evening,18
96,293918,Rose-crested Blue Pipit,B,6:45,6/5/2015,109,114.0,2015,other,6,7:00,Morning,7
97,293913,Rose-crested Blue Pipit,B,7:00,6/5/2015,45,64.0,2015,call,6,7:00,Morning,7
98,291662,Rose-crested Blue Pipit,B,12:39,11/23/2015,152,119.0,2015,call,11,13:00,Day,13
99,291091,Rose-crested Blue Pipit,B,13:50,5/16/2015,134,123.0,2015,call,5,14:00,Day,14
100,291090,Rose-crested Blue Pipit,B,13:25,5/16/2015,137,109.0,2015,call,5,13:00,Day,13
101,278041,Rose-crested Blue Pipit,B,15:37,5/26/2015,66,81.0,2015,call,5,16:00,Day,16
102,277999,Rose-crested Blue Pipit,B,8:25,5/3/2015,123,129.0,2015,song,5,8:00,Morning,8
103,261402,Rose-crested Blue Pipit,B,11:30,7/18/2015,147,121.0,2015,call,7,12:00,Day,12
104,256362,Rose-crested Blue Pipit,B,9:30,2/11/2015,137,138.0,2015,call,2,10:00,Morning,10
105,255560,Rose-crested Blue Pipit,B,7:50,3/10/2015,115,129.0,2015,call,3,8:00,Morning,8
106,233386,Rose-crested Blue Pipit,B,11:35,3/15/2015,130,114.0,2015,song,3,12:00,Day,12
107,233384,Rose-crested Blue Pipit,B,11:29,3/15/2015,120,118.0,2015,song,3,11:00,Day,11
109,216670,Rose-crested Blue Pipit,B,8:00,4/19/2009,136,166.0,2009,other,4,8:00,Morning,8
110,200110,Rose-crested Blue Pipit,B,9:28,10/25/2014,41,123.0,2014,call,10,9:00,Morning,9
111,191515,Rose-crested Blue Pipit,B,8:00,7/6/2014,125,110.0,2014,song,7,8:00,Morning,8
112,191476,Rose-crested Blue Pipit,B,8:30,7/3/2014,135,106.0,2014,song,7,9:00,Morning,9
113,191418,Rose-crested Blue Pipit,B,9:00,7/2/2014,136,126.0,2014,song,7,9:00,Morning,9
114,191417,Rose-crested Blue Pipit,B,9:00,7/2/2014,148,147.0,2014,call,7,9:00,Morning,9
115,191416,Rose-crested Blue Pipit,B,9:00,7/2/2014,127,116.0,2014,call,7,9:00,Morning,9
116,191415,Rose-crested Blue Pipit,B,9:00,7/2/2014,148,159.0,2014,call,7,9:00,Morning,9
117,182666,Rose-crested Blue Pipit,B,7:30,4/29/2014,128,119.0,2014,call,4,8:00,Morning,8
118,172485,Rose-crested Blue Pipit,B,20:50,5/8/2013,138,150.0,2013,song,5,21:00,Evening,21
119,171853,Rose-crested Blue Pipit,B,6:00,5/28/2010,148,151.0,2010,song,5,6:00,Morning,6
120,164634,Rose-crested Blue Pipit,B,9:00,1/12/2014,148,156.0,2014,call,1,9:00,Morning,9
121,164631,Rose-crested Blue Pipit,B,9:00,1/12/2014,142,150.0,2014,call,1,9:00,Morning,9
123,164230,Rose-crested Blue Pipit,B,8:00,1/11/2014,147,155.0,2014,call,1,8:00,Morning,8
124,164203,Rose-crested Blue Pipit,B,6:00,4/30/2012,140,112.0,2012,call,4,6:00,Morning,6
125,162568,Rose-crested Blue Pipit,B,8:10,5/26/2013,135,158.0,2013,call,5,8:00,Morning,8
126,162565,Rose-crested Blue Pipit,B,21:16,5/25/2013,135,119.0,2013,call,5,21:00,Evening,21
127,162562,Rose-crested Blue Pipit,B,21:15,5/25/2013,161,159.0,2013,other,5,21:00,Evening,21
128,158163,Rose-crested Blue Pipit,B,10:30,12/18/2013,164,173.0,2013,call,12,11:00,Day,11
129,149220,Rose-crested Blue Pipit,B,6:57,6/9/2013,146,158.0,2013,song,6,7:00,Morning,7
130,134979,Rose-crested Blue Pipit,B,7:00,5/6/2013,118,111.0,2013,song,5,7:00,Morning,7
131,125879,Rose-crested Blue Pipit,B,8:30,2/4/2013,62,153.0,2013,call,2,9:00,Morning,9
132,125878,Rose-crested Blue Pipit,B,8:30,2/4/2013,146,155.0,2013,call,2,9:00,Morning,9
133,113144,Rose-crested Blue Pipit,B,14:00,10/6/2012,113,110.0,2012,call,10,14:00,Day,14
135,91352,Rose-crested Blue Pipit,B,5:30pm,4/23/2010,149,156.0,2010,song,4,18:00,Evening,18
136,91351,Rose-crested Blue Pipit,B,5:30pm,4/23/2010,132,46.0,2010,song,4,18:00,Evening,18
137,80749,Rose-crested Blue Pipit,B,9:58,5/14/2011,146,156.0,2011,song,5,10:00,Morning,10
139,59000,Rose-crested Blue Pipit,B,14:30,6/14/2010,146,154.0,2010,song,6,15:00,Day,15
140,53791,Rose-crested Blue Pipit,B,5:42pm,4/25/2010,140,115.0,2010,call,4,18:00,Evening,18
141,53789,Rose-crested Blue Pipit,B,5:30pm,4/20/2010,125,118.0,2010,song,4,18:00,Evening,18
142,43857,Rose-crested Blue Pipit,B,14:00,2/4/2010,134,152.0,2010,call,2,14:00,Day,14
143,41282,Rose-crested Blue Pipit,B,11:00,10/12/2009,145,151.0,2009,call,10,11:00,Day,11
144,34861,Rose-crested Blue Pipit,B,10:45,5/23/2009,143,112.0,2009,song,5,11:00,Day,11
149,406172,Rose-crested Blue Pipit,C,5:40,6/7/2017,147,113.0,2017,song,6,6:00,Morning,6
150,395927,Rose-crested Blue Pipit,C,12:30,11/23/2017,137,111.0,2017,call,11,13:00,Day,13
151,378131,Rose-crested Blue Pipit,C,23:30,6/22/2017,131,119.0,2017,call,6,24:00,Night,24
152,363136,Rose-crested Blue Pipit,C,9:00,4/4/2017,139,114.0,2017,call,4,9:00,Morning,9
153,295352,Rose-crested Blue Pipit,C,9:30,12/11/2015,129,117.0,2015,call,12,10:00,Morning,10
154,294798,Rose-crested Blue Pipit,C,8:00,12/12/2015,113,114.0,2015,call,12,8:00,Morning,8
155,288915,Rose-crested Blue Pipit,C,9:30,3/19/2015,120,111.0,2015,song,3,10:00,Morning,10
156,282616,Rose-crested Blue Pipit,C,6:52,4/7/2015,134,116.0,2015,song,4,7:00,Morning,7
157,278001,Rose-crested Blue Pipit,C,8:27,5/3/2015,143,115.0,2015,call,5,8:00,Morning,8
158,277998,Rose-crested Blue Pipit,C,8:20,5/3/2015,128,117.0,2015,song,5,8:00,Morning,8
159,237009,Rose-crested Blue Pipit,C,9:30,4/21/2015,106,138.0,2015,other,4,10:00,Morning,10
160,237005,Rose-crested Blue Pipit,C,9:40,4/21/2015,127,117.0,2015,song,4,10:00,Morning,10
161,222806,Rose-crested Blue Pipit,C,8:10,2/15/2007,147,157.0,2007,song,2,8:00,Morning,8
162,222805,Rose-crested Blue Pipit,C,10:00,6/11/2000,148,154.0,2000,song,6,10:00,Morning,10
163,222804,Rose-crested Blue Pipit,C,12:00,4/18/2003,144,178.0,2003,song,4,12:00,Day,12
164,222803,Rose-crested Blue Pipit,C,6:00,4/5/1998,125,116.0,1998,song,4,6:00,Morning,6
165,206618,Rose-crested Blue Pipit,C,15:00,5/24/2014,133,109.0,2014,song,5,15:00,Day,15
166,182663,Rose-crested Blue Pipit,C,7:30,4/29/2014,131,125.0,2014,call,4,8:00,Morning,8
167,169033,Rose-crested Blue Pipit,C,10:00,9/9/2011,125,122.0,2011,call,9,10:00,Morning,10
168,161630,Rose-crested Blue Pipit,C,10:00,12/28/2013,130,120.0,2013,song,12,10:00,Morning,10
169,160293,Rose-crested Blue Pipit,C,6:58,5/4/2013,147,154.0,2013,song,5,7:00,Morning,7
170,150457,Rose-crested Blue Pipit,C,9:00,10/13/2013,161,141.0,2013,call,10,9:00,Morning,9
171,134755,Rose-crested Blue Pipit,C,11:00,5/24/2013,145,154.0,2013,song,5,11:00,Day,11
172,125402,Rose-crested Blue Pipit,C,9:00,3/17/2013,151,166.0,2013,song,3,9:00,Morning,9
174,91847,Rose-crested Blue Pipit,C,8:00,12/1/2011,80,125.0,2011,song,12,8:00,Morning,8
175,91845,Rose-crested Blue Pipit,C,8:00,12/1/2011,132,150.0,2011,call,12,8:00,Morning,8
176,63086,Rose-crested Blue Pipit,C,8:46,10/9/2010,138,161.0,2010,call,10,9:00,Morning,9
178,18969,Rose-crested Blue Pipit,C,8:00,12/22/2007,99,127.0,2007,song,12,8:00,Morning,8
179,371525,Rose-crested Blue Pipit,D,14:59,4/23/2017,109,134.0,2017,other,4,15:00,Day,15
180,345551,Rose-crested Blue Pipit,D,9:34,2/10/2016,124,111.0,2016,song,2,10:00,Morning,10
181,325274,Rose-crested Blue Pipit,D,20:30,6/23/2016,140,114.0,2016,song,6,21:00,Evening,21
182,174364,Rose-crested Blue Pipit,D,12:00,4/13/2014,130,139.0,2014,song,4,12:00,Day,12
184,18970,Rose-crested Blue Pipit,D,8:00,12/22/2007,104,123.0,2007,song,12,8:00,Morning,8
185,306340,Rose-crested Blue Pipit,E,13:00,3/8/2016,104,124.0,2016,song,3,13:00,Day,13
186,347750,Blue-collared Zipper,no score,16:00,8/21/2016,46,62.0,2016,call,8,16:00,Day,16
187,325753,Blue-collared Zipper,no score,7:00,8/31/2011,24,139.0,2011,call,8,7:00,Morning,7
188,176506,Blue-collared Zipper,no score,16:17,9/26/2010,46,62.0,2010,call,9,16:00,Day,16
189,374413,Blue-collared Zipper,A,16:49,2/3/2017,60,71.0,2017,call,2,17:00,Day,17
190,347893,Blue-collared Zipper,A,9:30,12/21/2013,44,63.0,2013,other,12,10:00,Morning,10
191,341352,Blue-collared Zipper,A,8:00,2/22/2016,152,34.0,2016,song,2,8:00,Morning,8
192,274462,Blue-collared Zipper,A,17:05,3/15/2010,60,76.0,2010,call,3,17:00,Day,17
195,239023,Blue-collared Zipper,A,6:30,2/22/1996,147,153.0,1996,call,2,7:00,Morning,7
196,239022,Blue-collared Zipper,A,6:40,12/19/1991,44,66.0,1991,call,12,7:00,Morning,7
197,239019,Blue-collared Zipper,A,6:24,12/11/1990,68,151.0,1990,call,12,6:00,Morning,6
198,239018,Blue-collared Zipper,A,7:30,11/15/1992,49,61.0,1992,call,11,8:00,Morning,8
199,230054,Blue-collared Zipper,A,11:00,4/16/2003,32,135.0,2003,call,4,11:00,Day,11
200,189831,Blue-collared Zipper,A,18:30,7/31/2014,84,138.0,2014,call,7,19:00,Evening,19
201,183581,Blue-collared Zipper,A,18:00,5/24/2014,31,136.0,2014,call,5,18:00,Evening,18
202,167890,Blue-collared Zipper,A,16:00,1/22/2014,137,36.0,2014,other,1,16:00,Day,16
203,116387,Blue-collared Zipper,A,16:50,10/4/2012,150,144.0,2012,call,10,17:00,Day,17
207,3371,Blue-collared Zipper,A,10:37,6/6/1996,32,138.0,1996,call,6,11:00,Day,11
208,273667,Blue-collared Zipper,B,16:00,1/2/2010,45,65.0,2010,call,1,16:00,Day,16
209,254122,Blue-collared Zipper,B,0:00,3/14/2003,84,140.0,2003,call,3,0:00,Night,0
210,251570,Blue-collared Zipper,B,12:30,11/27/2004,129,120.0,2004,call,11,13:00,Day,13
211,251569,Blue-collared Zipper,B,12:10,11/27/2004,49,61.0,2004,call,11,12:00,Day,12
212,251568,Blue-collared Zipper,B,13:20,11/10/2004,80,132.0,2004,call,11,13:00,Day,13
213,239021,Blue-collared Zipper,B,6:38,12/19/1991,92,121.0,1991,call,12,7:00,Morning,7
214,239020,Blue-collared Zipper,B,6:39,9/4/1991,45,64.0,1991,call,9,7:00,Morning,7
215,230060,Blue-collared Zipper,B,17:00,6/5/2000,45,65.0,2000,call,6,17:00,Day,17
216,230059,Blue-collared Zipper,B,17:00,6/5/2000,56,58.0,2000,call,6,17:00,Day,17
217,230058,Blue-collared Zipper,B,10:45,4/16/2003,47,63.0,2003,call,4,11:00,Day,11
218,230057,Blue-collared Zipper,B,16:00,4/19/1997,139,45.0,1997,call,4,16:00,Day,16
219,230056,Blue-collared Zipper,B,18:00,7/28/2000,67,156.0,2000,call,7,18:00,Evening,18
220,230055,Blue-collared Zipper,B,16:00,2/14/2006,45,66.0,2006,call,2,16:00,Day,16
221,211636,Blue-collared Zipper,B,14:30,12/16/2014,50,63.0,2014,call,12,15:00,Day,15
222,181434,Blue-collared Zipper,B,16:30,11/16/2013,46,70.0,2013,song,11,17:00,Day,17
223,166768,Blue-collared Zipper,B,10:00,1/22/2014,46,65.0,2014,call,1,10:00,Morning,10
224,146158,Blue-collared Zipper,B,11:00,2/21/2013,47,66.0,2013,song,2,11:00,Day,11
225,122690,Blue-collared Zipper,B,8:00,1/28/2013,45,65.0,2013,call,1,8:00,Morning,8
226,116386,Blue-collared Zipper,B,16:50,10/4/2012,46,64.0,2012,call,10,17:00,Day,17
227,95988,Blue-collared Zipper,B,9:33,2/13/2012,50,56.0,2012,song,2,10:00,Morning,10
228,85427,Blue-collared Zipper,B,15:50,10/30/2002,47,65.0,2002,call,10,16:00,Day,16
229,74792,Blue-collared Zipper,B,18:20,8/1/1997,46,35.0,1997,call,8,18:00,Evening,18
230,74191,Blue-collared Zipper,B,15:20,10/3/2006,82,138.0,2006,song,10,15:00,Day,15
233,24011,Blue-collared Zipper,B,13:00,10/18/2008,50,59.0,2008,song,10,13:00,Day,13
235,326954,Blue-collared Zipper,C,8:00,4/25/2016,45,65.0,2016,call,4,8:00,Morning,8
236,251567,Blue-collared Zipper,C,12:00,3/11/2007,50,60.0,2007,call,3,12:00,Day,12
237,251566,Blue-collared Zipper,C,14:00,9/12/2005,53,61.0,2005,call,9,14:00,Day,14
238,230061,Blue-collared Zipper,C,9:00,1/5/2008,143,111.0,2008,call,1,9:00,Morning,9
239,162080,Blue-collared Zipper,C,16:11,12/10/2013,47,62.0,2013,call,12,16:00,Day,16
240,158745,Blue-collared Zipper,C,9:30,12/16/2013,45,67.0,2013,call,12,10:00,Morning,10
241,131815,Blue-collared Zipper,C,11:00,12/17/2007,85,105.0,2007,call,12,11:00,Day,11
242,113765,Blue-collared Zipper,C,11:00,9/16/2011,125,116.0,2011,song,9,11:00,Day,11
243,95987,Blue-collared Zipper,C,9:33,2/13/2012,44,64.0,2012,song,2,10:00,Morning,10
244,61917,Blue-collared Zipper,C,6:28,8/24/2010,120,113.0,2010,call,8,6:00,Morning,6
245,15843,Blue-collared Zipper,C,11:15,8/15/2007,49,57.0,2007,call,8,11:00,Day,11
246,12273,Blue-collared Zipper,C,13:33,4/8/2003,23,138.0,2003,call,4,14:00,Day,14
247,8370,Blue-collared Zipper,C,16:00,9/26/2006,48,63.0,2006,call,9,16:00,Day,16
248,339830,Blue-collared Zipper,D,10:37,10/8/2003,31,136.0,2003,call,10,11:00,Day,11
249,326977,Blue-collared Zipper,D,11:30,5/27/2016,95,141.0,2016,call,5,12:00,Day,12
250,394751,Bombadil,A,6:50,7/3/2017,79,144.0,2017,other,7,7:00,Morning,7
251,389979,Bombadil,A,9:34,5/27/2017,86,136.0,2017,call,5,10:00,Morning,10
252,388172,Bombadil,A,17:31,5/20/2017,69,154.0,2017,song,5,18:00,Evening,18
253,381414,Bombadil,A,17:04,6/1/2017,78,136.0,2017,song,6,17:00,Day,17
254,381413,Bombadil,A,17:03,6/1/2017,78,156.0,2017,song,6,17:00,Day,17
255,373488,Bombadil,A,15:30,6/1/2017,69,154.0,2017,song,6,16:00,Day,16
256,372594,Bombadil,A,7:00,5/20/2017,69,150.0,2017,song,5,7:00,Morning,7
257,333314,Bombadil,A,16:03,6/25/2016,80,137.0,2016,song,6,16:00,Day,16
258,318350,Bombadil,A,17:25,5/24/2016,67,144.0,2016,song,5,17:00,Day,17
259,318349,Bombadil,A,17:23,5/24/2016,144,43.0,2016,song,5,17:00,Day,17
260,317206,Bombadil,A,2:30,5/14/2016,71,143.0,2016,call,5,3:00,Night,3
261,314298,Bombadil,A,12:30,4/30/2016,66,154.0,2016,song,4,13:00,Day,13
262,313482,Bombadil,A,11:30,4/23/2016,68,144.0,2016,song,4,12:00,Day,12
263,296888,Bombadil,A,9:42,5/18/2012,71,143.0,2012,other,5,10:00,Morning,10
264,296886,Bombadil,A,11:57,5/18/2011,74,133.0,2011,song,5,12:00,Day,12
265,296883,Bombadil,A,13:21,5/29/2011,78,156.0,2011,song,5,13:00,Day,13
266,292085,Bombadil,A,17:00,5/18/2008,58,165.0,2008,song,5,17:00,Day,17
267,246112,Bombadil,A,18:45,5/26/2015,77,135.0,2015,song,5,19:00,Evening,19
268,206157,Bombadil,A,5:00,6/13/2014,66,154.0,2014,song,6,5:00,Morning,5
269,185815,Bombadil,A,20:30,6/6/2014,70,160.0,2014,song,6,21:00,Evening,21
270,185814,Bombadil,A,20:26,6/6/2014,58,86.0,2014,song,6,20:00,Evening,20
271,185812,Bombadil,A,20:17,6/6/2014,57,154.0,2014,song,6,20:00,Evening,20
272,185521,Bombadil,A,5:18,6/6/2014,66,135.0,2014,song,6,5:00,Morning,5
273,185518,Bombadil,A,5:24,6/6/2014,70,140.0,2014,song,6,5:00,Morning,5
274,182689,Bombadil,A,11:35,5/25/2014,69,155.0,2014,call,5,12:00,Day,12
275,180230,Bombadil,A,18:00,5/28/2014,85,145.0,2014,song,5,18:00,Evening,18
276,178244,Bombadil,A,10:00,5/14/2014,64,152.0,2014,other,5,10:00,Morning,10
277,177472,Bombadil,A,6:00,5/6/2014,67,154.0,2014,song,5,6:00,Morning,6
278,177471,Bombadil,A,6:00,5/6/2014,73,144.0,2014,song,5,6:00,Morning,6
279,160543,Bombadil,A,7:42,5/21/2013,65,134.0,2013,song,5,8:00,Morning,8
280,155548,Bombadil,A,7:30,5/19/2013,64,146.0,2013,song,5,8:00,Morning,8
281,147289,Bombadil,A,8:44,9/4/2013,74,156.0,2013,call,9,9:00,Morning,9
282,100089,Bombadil,A,9:30am,4/22/2012,81,164.0,2012,song,4,10:00,Morning,10
283,59146,Bombadil,A,8:40,5/7/2010,67,161.0,2010,song,5,9:00,Morning,9
284,59127,Bombadil,A,14:20,5/4/2010,68,160.0,2010,song,5,14:00,Day,14
286,48651,Bombadil,A,11:00,5/4/2010,67,153.0,2010,song,5,11:00,Day,11
287,48268,Bombadil,A,10:40,5/2/2010,83,135.0,2010,song,5,11:00,Day,11
288,13792,Bombadil,A,5:45,6/9/2007,84,179.0,2007,song,6,6:00,Morning,6
